amount_transferred,mode_of_transaction,date_and_time,account_number,place_of_transaction,label,amount_before_transaction,amount_after_transaction
8507.311764,Online,16-01-2024 13:10,904990831,Kolhapur,fraud,13082.98802,4575.676252
3988.034358,Online,18-02-2024 06:34,2773156066,Jalgaon,legitimate,12574.2446,8586.210241
9896.102801,Mobile,15-01-2024 20:32,3386622037,Amaravati,legitimate,10475.22203,579.1192313
1393.458204,Online,09-03-2024 17:18,4437354444,Panchkula,legitimate,2963.780704,1570.3225
6551.233629,Branch,07-02-2024 08:16,2010638049,Jaipur,legitimate,10749.51384,4198.280215
8107.380603,Branch,28-02-2024 01:48,4218062214,Firozabad,legitimate,12992.96206,4885.58146
5749.036492,Mobile,01-03-2024 03:16,6741347138,Adoni,fraud,8457.757312,2708.72082
6887.096344,Mobile,10-01-2024 21:52,9082789300,Sambalpur,fraud,10516.21538,3629.119041
1727.614738,Online,08-02-2024 22:54,5290789023,Sangli-Miraj & Kupwad,legitimate,3439.098138,1711.4834
9154.031772,Branch,23-01-2024 12:34,4112041445,Sangli-Miraj & Kupwad,legitimate,14096.45869,4942.426914
1298.147505,Online,21-02-2024 04:12,3279509845,Bhalswa Jahangir Pur,legitimate,9257.196104,7959.048599
8162.400815,Mobile,28-02-2024 03:40,1910794543,Karnal,legitimate,14809.86871,6647.467897
488.767201,Branch,06-03-2024 21:02,6652541262,Kavali,legitimate,1655.91045,1167.143249
2084.697704,Mobile,18-02-2024 11:16,4598726889,Ghaziabad,legitimate,7011.755577,4927.057874
4241.505255,Branch,11-03-2024 20:02,6917053071,Guntakal,legitimate,11248.20444,7006.69919
6527.181991,Branch,11-02-2024 06:20,274306945,Singrauli,fraud,11873.14543,5345.963436
5299.117498,Online,07-02-2024 02:25,6609606326,Jalna,fraud,9276.705904,3977.588406
1807.986382,Branch,12-02-2024 09:12,4634779347,Noida,legitimate,8064.939152,6256.952771
8627.562964,Branch,06-01-2024 14:34,1085191613,Tadepalligudem,fraud,18317.08575,9689.522786
