transaction_amount,transaction_date_time,card_number,merchant,label,amount_before_transaction,amount_after_transaction
3171.3132566968648,2024-01-05 12:18:01,4475033687971,"Sarraf, Bhalla and Badal",fraud,6511.448626180987,3340.1353694841223
3458.368505568916,2024-01-07 20:16:45,501891475128,Kothari Inc,legitimate,6033.442026063155,2575.073520494239
204.64203960646245,2024-01-07 08:00:37,4606785121121776558,Kulkarni-Samra,legitimate,2027.7447345960363,1823.1026949895738
2635.209126125195,2024-02-14 22:16:06,6011293214710563,Madan-Sani,legitimate,6288.8835042713545,3653.6743781461596
4378.062567104796,2024-01-14 02:19:18,36353486225833,Manne Inc,legitimate,5878.3061749026365,1500.243607797841
4878.2535765916955,2024-03-16 22:50:20,4182283385915811777,Balay-Som,legitimate,7597.335212665015,2719.0816360733197
1892.968901379255,2024-02-29 12:39:24,5493613461890744,"Tandon, Babu and Ghose",legitimate,4065.413446266483,2172.444544887228
3464.87102308068,2024-01-17 23:06:49,3506883567784998,Chopra-Gala,legitimate,4855.2161857782485,1390.3451626975684
4540.4149809603,2024-02-16 11:00:29,5313409734025855,"Mand, Dass and Ravel",legitimate,9414.117684018092,4873.702703057792
3073.711828562911,2024-01-30 21:29:12,4312650785077341042,Tara Group,legitimate,4374.8825381199895,1301.1707095570787
4061.611710843038,2024-03-04 20:15:06,3514282717248279,Keer-Bera,legitimate,5614.984098820958,1553.37238797792
3465.938272387133,2024-02-08 00:34:39,6011493479255375,"Sehgal, Krish and Karpe",legitimate,4282.259906159894,816.3216337727608
1143.6259895473393,2024-01-22 19:41:15,3502463552872050,Sachdeva-Batta,fraud,5260.299309865649,4116.673320318309
3007.2488220762957,2024-02-16 04:33:02,3592641702792986,"Tandon, Sane and Chandra",fraud,5944.329930843198,2937.081108766902
3619.8663673060387,2024-01-06 10:05:02,4780817579237830,"Mani, Ranganathan and Krish",fraud,6688.932257103243,3069.065889797204
1185.4740136265614,2024-01-17 19:13:43,340320601981526,"Sankar, Sawhney and Roy",legitimate,5290.0754585040595,4104.601444877499
