transferred_amount,transaction_mode,transaction_date_time,identity,merchant,label,amount_before_transaction,amount_after_transaction
8063.928356,Online,09-02-2024 10:19,4199432072,unknown,legitimate,17457.65361,9393.725259
1028.38761,Mobile,23-02-2024 21:02,120751077,unknown,legitimate,2602.069969,1573.682359
9994.195885,Online,08-02-2024 06:34,7630589752,unknown,fraud,15011.58657,5017.390684
952.7081767,Branch,08-01-2024 14:03,47829261,unknown,legitimate,10665.38237,9712.674197
3473.716953,card,27-01-2024 02:40,3.55067E+15,"Atwal, Kibe and Bassi",legitimate,4777.954302,1304.237348
8205.528272,Branch,14-01-2024 16:58,1276829116,unknown,legitimate,14922.34402,6716.815743
4308.613973,card,11-03-2024 02:50,4.31907E+18,Dave PLC,legitimate,7014.845041,2706.231068
646.168425,card,09-03-2024 05:50,3.71759E+14,Kuruvilla LLC,fraud,4126.366727,3480.198302
966.0487992,card,14-01-2024 16:28,4.70449E+18,Kala-Dey,legitimate,1485.888691,519.8398919
3579.45833,card,08-03-2024 01:11,4.87231E+15,Loyal Group,legitimate,4489.132678,909.6743489
1487.12044,Branch,03-03-2024 08:28,685504524,unknown,fraud,7233.844824,5746.724383
4986.217121,card,29-01-2024 17:25,2.22423E+15,Tiwari-Dada,legitimate,5628.242865,642.0257449
1487.92206,card,07-02-2024 13:37,2.70563E+15,"Mani, Ahluwalia and Toor",legitimate,2840.301577,1352.379517
3524.242264,Mobile,15-02-2024 20:39,6345977829,unknown,fraud,12703.31643,9179.074169
3368.729733,card,17-01-2024 04:24,6.01164E+15,Mani Group,legitimate,3579.321203,210.5914694
2721.987299,card,11-03-2024 19:59,2.72082E+15,"Khosla, Dass and Venkataraman",legitimate,5943.714958,3221.72766
1475.023303,card,15-03-2024 04:19,3.54246E+15,"Dasgupta, Dutt and Thaker",fraud,5462.472241,3987.448938
2812.482185,Mobile,02-02-2024 01:06,3646830380,unknown,legitimate,6375.229508,3562.747323
3581.064604,Branch,15-02-2024 12:08,8219415222,unknown,fraud,10161.2699,6580.205293
6538.224295,Mobile,15-03-2024 15:17,4165431531,unknown,fraud,13786.98901,7248.764718
4159.276482,card,26-01-2024 17:07,4.89232E+12,Doctor Ltd,legitimate,8117.163321,3957.886839
9639.837773,Online,14-01-2024 19:26,6133201136,unknown,fraud,12184.77369,2544.935919
3312.270885,card,24-01-2024 16:24,3.47437E+14,Singhal-Uppal,legitimate,4165.768092,853.4972066
9368.501238,Mobile,29-01-2024 09:44,6342008672,unknown,fraud,11743.13192,2374.630681
8435.142311,Online,31-01-2024 03:25,155149319,unknown,fraud,11620.48821,3185.345896
8398.481169,Branch,07-01-2024 01:38,2128088674,unknown,legitimate,11129.89545,2731.414277
943.3483053,card,07-02-2024 19:51,2.13159E+14,Seth Ltd,fraud,5447.764201,4504.415896
471.9537949,Mobile,05-03-2024 09:30,7632332612,unknown,legitimate,7761.156931,7289.203136
1145.394046,card,12-02-2024 23:35,3.02393E+13,Char Inc,legitimate,4549.824034,3404.429989
3914.103565,card,20-02-2024 09:56,4.58866E+12,Tandon Inc,fraud,4538.976416,624.8728502
2725.50344,Branch,15-01-2024 12:00,4953227720,unknown,fraud,4007.569797,1282.066357
553.977942,card,12-03-2024 17:55,6.01114E+15,"Rajan, Sundaram and Bedi",legitimate,1727.117356,1173.139414
3353.067919,card,13-03-2024 01:09,3.4871E+14,Gaba-Kant,legitimate,3437.708312,84.64039302
3560.113084,Online,21-01-2024 17:23,6191192142,unknown,fraud,9215.198527,5655.085444
4041.707067,card,23-02-2024 19:07,5.03838E+11,"Sandhu, Chowdhury and Ratti",legitimate,5473.946434,1432.239367
3358.354773,card,18-01-2024 06:12,1.80032E+14,"Sule, D’Alia and Thaker",legitimate,6106.033995,2747.679222
46.71556983,card,08-02-2024 05:12,3.54567E+15,Sheth-Dutta,legitimate,4768.617236,4721.901666
1629.313883,card,08-02-2024 18:06,2.13103E+14,"Tank, Devan and Karpe",legitimate,4430.46635,2801.152467
3573.454513,card,12-01-2024 14:19,3.57492E+15,Ramanathan-Dugar,legitimate,4558.916711,985.4621978
639.3154587,card,22-02-2024 20:17,4.82716E+15,Chahal PLC,legitimate,4960.940551,4321.625092
3300.934848,card,11-02-2024 22:16,3.52436E+15,Shanker-Kade,legitimate,5717.174134,2416.239286
